timestamp,temperature,vibration,pressure,ml_anomaly,MHI
2025-12-31T17:03:24.192727,58.95,1.03,106.15,0,100
2025-12-31T17:03:27.223510,46.33,0.67,91.05,0,86.66666666666667
2025-12-31T17:03:30.239894,47.32,0.66,108.21,0,100
2025-12-31T17:03:33.251223,51.99,0.53,108.83,0,100
2025-12-31T17:03:36.281959,52.29,0.92,107.46,0,100
2025-12-31T17:03:39.307445,57.56,2.13,107.72,0,86.66666666666667
2025-12-31T17:03:42.333082,44.3,0.56,105.34,0,100
2025-12-31T17:03:45.351636,59.3,1.24,109.5,0,100
2025-12-31T17:03:48.378749,61.32,2.18,111.68,0,81.33333333333333
2025-12-31T17:03:51.404741,33.27,0.3,99.51,0,100
2025-12-31T17:03:54.420922,35.8,0.55,100.62,0,100
2025-12-31T17:03:57.455247,32.72,0.75,91.57,0,86.66666666666667
2025-12-31T17:04:00.476110,53.82,1.35,91.62,0,86.66666666666667
2025-12-31T17:04:03.501497,57.55,2.97,106.33,1,56.666666666666664
2025-12-31T17:04:06.519236,41.7,2.57,107.31,0,86.66666666666667
2025-12-31T17:04:09.537191,51.91,0.5,101.98,0,100
2025-12-31T17:04:12.568928,63.32,1.34,98.78,0,94.66666666666667
2025-12-31T17:04:15.585109,44.01,0.81,109.51,0,100
2025-12-31T17:04:18.610228,33.04,0.56,101.63,0,100
2025-12-31T17:04:21.626188,59.54,2.16,108.86,0,86.66666666666667
2025-12-31T17:04:24.643580,43.17,0.26,109.03,0,100
2025-12-31T17:04:27.659262,38.62,0.83,108.88,0,100
2025-12-31T17:04:30.680819,42.66,0.6,100.35,0,100
2025-12-31T17:04:33.694234,43.66,1.1,101.46,0,100
2025-12-31T17:04:36.735387,36.63,2.18,103.54,0,86.66666666666667
2025-12-31T17:04:39.749439,38.71,0.67,108.83,0,100
2025-12-31T17:04:42.764662,63.98,2.96,104.57,1,51.33333333333334
2025-12-31T17:04:45.797613,58.45,0.75,88.0,0,86.66666666666667
2025-12-31T17:04:48.820621,49.84,0.35,106.57,0,100
2025-12-31T17:04:51.852004,50.07,0.38,108.64,0,100
2025-12-31T17:04:54.917386,57.2,0.28,106.4,0,100
2025-12-31T17:04:58.025710,50.48,1.12,105.5,0,100
2025-12-31T17:05:01.062608,39.71,1.13,123.89,0,86.66666666666667
2025-12-31T17:05:04.089255,62.89,0.24,106.16,0,94.66666666666667
2025-12-31T17:05:07.286342,53.08,1.22,105.68,0,100
2025-12-31T17:05:10.315683,39.4,1.21,104.68,0,100
2025-12-31T17:05:13.357958,55.85,1.42,106.84,0,100
2025-12-31T17:05:16.372452,49.41,2.84,105.05,0,86.66666666666667
2025-12-31T17:05:19.393213,87.86,1.4,111.08,0,86.66666666666667
2025-12-31T17:05:22.410548,31.94,0.63,121.23,0,86.66666666666667
2025-12-31T17:05:25.426230,40.66,0.88,101.9,0,100
2025-12-31T17:05:28.441348,62.47,0.37,108.2,0,94.66666666666667
2025-12-31T17:05:31.465400,62.32,2.23,109.59,0,81.33333333333333
2025-12-31T17:05:34.487989,40.75,0.83,101.14,0,100
2025-12-31T17:05:37.504299,81.38,0.35,106.58,0,86.66666666666667
2025-12-31T17:05:40.523025,63.06,2.33,105.55,0,81.33333333333333
2025-12-31T17:05:43.542882,58.91,0.37,93.01,0,86.66666666666667
2025-12-31T17:05:46.566851,63.64,1.23,104.46,0,94.66666666666667
2025-12-31T17:05:49.581709,34.7,1.01,102.72,0,100
2025-12-31T17:05:52.595928,78.01,0.99,109.79,0,86.66666666666667
2025-12-31T17:05:55.606444,57.96,0.32,104.07,0,100
2025-12-31T17:05:58.628071,63.2,1.02,102.7,0,94.66666666666667
2025-12-31T17:06:01.642643,47.27,0.85,109.11,0,100
2025-12-31T17:06:04.664534,38.13,1.18,103.43,0,100
2025-12-31T17:06:07.682567,59.83,0.98,119.95,0,86.66666666666667
2025-12-31T17:06:10.715297,34.69,0.27,110.87,0,100
2025-12-31T17:06:13.739314,30.3,0.38,101.52,0,100
2025-12-31T17:06:16.802106,60.16,0.34,111.73,0,94.66666666666667
2025-12-31T17:06:19.859547,57.66,0.34,110.9,0,100
2025-12-31T17:06:22.881700,55.71,1.5,105.37,0,93.33333333333333
2025-12-31T17:06:25.904279,53.16,2.78,102.4,0,86.66666666666667
2025-12-31T17:06:28.924017,80.03,1.02,107.38,0,86.66666666666667
2025-12-31T17:06:31.947832,32.48,0.23,110.92,0,100
2025-12-31T17:06:34.980978,56.98,1.41,103.88,0,100
2025-12-31T17:06:37.995947,46.04,1.11,123.92,0,86.66666666666667
2025-12-31T17:06:41.019429,60.86,1.15,99.46,0,94.66666666666667
2025-12-31T17:06:44.040212,54.74,0.81,109.53,0,100
2025-12-31T17:06:47.064541,78.65,0.69,101.55,0,86.66666666666667
2025-12-31T17:06:50.098974,37.13,0.25,100.68,0,100
2025-12-31T17:06:53.138453,55.73,0.54,110.03,0,100
2025-12-31T17:06:56.149350,41.72,0.75,98.52,0,100
2025-12-31T17:06:59.172267,54.04,0.4,89.66,0,86.66666666666667
2025-12-31T17:07:02.185631,80.66,0.6,101.55,0,86.66666666666667
2025-12-31T17:07:05.211909,59.6,1.5,98.37,0,93.33333333333333
2025-12-31T17:07:08.223649,40.52,1.31,98.87,0,100
2025-12-31T17:07:11.245060,53.86,0.57,108.05,0,100
2025-12-31T17:07:14.259709,32.86,2.32,109.28,0,86.66666666666667
2025-12-31T17:07:17.278910,35.18,2.79,110.72,0,86.66666666666667
2025-12-31T17:07:20.314565,58.92,0.81,106.27,0,100
2025-12-31T17:07:23.341095,84.68,0.96,100.25,0,86.66666666666667
2025-12-31T17:07:26.357077,63.03,1.3,98.61,0,94.66666666666667
2025-12-31T17:07:29.377311,35.04,0.87,99.33,0,100
2025-12-31T17:07:32.387280,48.48,1.42,93.64,0,86.66666666666667
2025-12-31T17:07:35.407327,55.31,0.57,102.25,0,100
2025-12-31T17:07:38.423167,42.61,1.35,98.2,0,100
2025-12-31T17:07:41.444762,61.03,2.84,99.09,1,51.33333333333334
2025-12-31T17:07:44.461590,85.04,1.44,111.94,0,86.66666666666667
2025-12-31T17:07:47.481383,72.94,1.32,104.31,0,86.66666666666667
2025-12-31T17:07:50.493121,86.41,0.25,101.07,1,56.666666666666664
2025-12-31T17:07:53.513033,52.55,2.47,98.32,1,56.666666666666664
2025-12-31T17:07:56.524940,33.79,1.1,110.58,0,100
2025-12-31T17:07:59.548178,42.93,2.15,108.3,0,86.66666666666667
2025-12-31T17:08:02.561523,58.02,0.79,109.14,0,100
2025-12-31T17:08:05.574884,34.93,0.9,107.59,0,100
2025-12-31T17:08:08.587455,49.8,2.66,111.74,1,56.666666666666664
2025-12-31T17:08:11.611118,75.74,0.39,102.42,0,86.66666666666667
2025-12-31T17:08:14.625217,30.47,1.07,109.19,0,100
2025-12-31T17:08:17.643148,30.74,0.42,91.83,0,86.66666666666667
2025-12-31T17:08:20.658125,55.0,1.09,99.1,0,100
2025-12-31T17:08:23.677574,37.24,2.47,105.69,0,86.66666666666667
2025-12-31T17:08:26.707902,32.39,1.39,111.75,0,100
2025-12-31T17:08:29.740874,58.47,0.38,127.24,0,86.66666666666667
2025-12-31T17:08:32.754955,63.64,2.09,98.89,0,81.33333333333333
2025-12-31T17:08:35.778596,50.87,0.26,109.56,0,100
2025-12-31T17:08:38.796286,33.76,2.08,101.15,0,86.66666666666667
2025-12-31T17:08:41.819700,49.6,0.59,103.32,0,100
2025-12-31T17:08:44.835874,46.65,0.54,105.78,0,100
2025-12-31T17:08:47.856938,30.33,0.54,104.88,0,100
2025-12-31T17:08:50.872603,59.71,1.34,125.58,0,86.66666666666667
2025-12-31T17:08:53.890785,46.9,1.36,116.86,0,86.66666666666667
